# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: hello.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
             636   N   0000029e   00000591   000002a0   x10_a0     00000508
             637   N   000002a0   fec59ce3   000002a2   x11_a1     00480128
             638   N   000002a2   aa018613   0000029a   ---        --------
             641   N   0000029a   0000c194   0000029c   x13_a3     22b7710d
             643   N   0000029c   00000511   0000029e   ---        --------
             644   N   0000029e   00000591   000002a0   x10_a0     0000050c
             645   N   000002a0   fec59ce3   000002a2   x11_a1     0048012c
             646   N   000002a2   aa018613   0000029a   ---        --------
             649   N   0000029a   0000c194   0000029c   x13_a3     2e230048
             651   N   0000029c   00000511   0000029e   ---        --------
             652   N   0000029e   00000591   000002a0   x10_a0     00000510
             653   N   000002a0   fec59ce3   000002a2   x11_a1     00480130
             654   N   000002a2   aa018613   0000029a   ---        --------
             657   N   0000029a   0000c194   0000029c   x13_a3     83131411
             659   N   0000029c   00000511   0000029e   ---        --------
             660   N   0000029e   00000591   000002a0   x10_a0     00000514
             661   N   000002a0   fec59ce3   000002a2   x11_a1     00480134
             662   N   000002a2   aa018613   0000029a   ---        --------
             665   N   0000029a   0000c194   0000029c   x13_a3     00932802
             667   N   0000029c   00000511   0000029e   ---        --------
             668   N   0000029e   00000591   000002a0   x10_a0     00000518
             669   N   000002a0   fec59ce3   000002a2   x11_a1     00480138
             670   N   000002a2   aa018613   0000029a   ---        --------
             673   N   0000029a   0000c194   0000029c   x13_a3     2a230610
             675   N   0000029c   00000511   0000029e   ---        --------
             676   N   0000029e   00000591   000002a0   x10_a0     0000051c
             677   N   000002a0   fec59ce3   000002a2   x11_a1     0048013c
             678   N   000002a2   aa018613   0000029a   ---        --------
             681   N   0000029a   0000c194   0000029c   x13_a3     24231491
             683   N   0000029c   00000511   0000029e   ---        --------
             684   N   0000029e   00000591   000002a0   x10_a0     00000520
             685   N   000002a0   fec59ce3   000002a2   x11_a1     00480140
             686   N   000002a2   aa018613   0000029a   ---        --------
             689   N   0000029a   0000c194   0000029c   x13_a3     20231541
             691   N   0000029c   00000511   0000029e   ---        --------
             692   N   0000029e   00000591   000002a0   x10_a0     00000524
             693   N   000002a0   fec59ce3   000002a2   x11_a1     00480144
             694   N   000002a2   aa018613   0000029a   ---        --------
             697   N   0000029a   0000c194   0000029c   x13_a3     28231561
             699   N   0000029c   00000511   0000029e   ---        --------
             700   N   0000029e   00000591   000002a0   x10_a0     00000528
             701   N   000002a0   fec59ce3   000002a2   x11_a1     00480148
             702   N   000002a2   aa018613   0000029a   ---        --------
             705   N   0000029a   0000c194   0000029c   x13_a3     262313a1
             707   N   0000029c   00000511   0000029e   ---        --------
             708   N   0000029e   00000591   000002a0   x10_a0     0000052c
             709   N   000002a0   fec59ce3   000002a2   x11_a1     0048014c
             710   N   000002a2   aa018613   0000029a   ---        --------
             713   N   0000029a   0000c194   0000029c   x13_a3     2c2313b1
             715   N   0000029c   00000511   0000029e   ---        --------
             716   N   0000029e   00000591   000002a0   x10_a0     00000530
             717   N   000002a0   fec59ce3   000002a2   x11_a1     00480150
             718   N   000002a2   aa018613   0000029a   ---        --------
             721   N   0000029a   0000c194   0000029c   x13_a3     28231481
             723   N   0000029c   00000511   0000029e   ---        --------
             724   N   0000029e   00000591   000002a0   x10_a0     00000534
